Cliente,Marca1,Marca2,Marca3,Marca_Inno1,Marca_Inno2
242,0.0121,0.2641,0.3022,0.023,0.023
245,0.0121,0.0084,0.3493,0.023,0.023
255,0.0124,0.0084,0.063,0.023,0.023
258,0.0845,0.0084,0.0889,0.0297,0.0297
259,0.0845,0.0084,0.0889,0.0297,0.0297
263,0.0845,0.236,0.3466,0.0363,0.0363
265,0.0845,0.0663,0.3068,0.0454,0.0454
267,0.0337,0.0585,0.3968,0.0454,0.0454
274,0.0403,0.0199,0.2235,0.1206,0.1206
276,0.0506,0.0387,0.2235,0.1206,0.1206
277,0.0506,0.0387,0.2235,0.1206,0.1206
279,0.0506,0.2681,0.4964,0.0975,0.0975
280,0.0506,0.1697,0.4964,0.0975,0.0975
281,0.0506,0.2376,0.5883,0.0975,0.0975
283,0.1195,0.6112,0.5883,0.0975,0.0975
287,0.1195,0.0919,0.2151,0.0975,0.0975
288,0.1195,0.1202,0.3403,0.0975,0.0975
300,0.0097,0.1677,0.4039,0.0203,0.0203
305,0.0097,0.0299,0.1938,0.0203,0.0203
313,0.0097,0.0192,0.1349,0.0203,0.0203
315,0.0097,0.0192,0.1952,0.0203,0.0203
321,0.0097,0.0192,0.4087,0.0203,0.0203
324,0.0097,0.0508,0.4018,0.0203,0.0203
329,0.0097,0.0393,0.144,0.0203,0.0203
333,0.0097,0.103,0.4407,0.1626,0.1626
334,0.0097,0.0251,0.1646,0.1626,0.1626
336,0.0097,0.0251,0.0983,0.0787,0.0787
339,0.0097,0.0251,0.4308,0.0787,0.0787
343,0.0097,0.0251,0.1689,0.0246,0.0246
348,0.0097,0.0251,0.1516,0.0246,0.0246
351,0.0097,0.0251,0.2339,0.0234,0.0234
352,0.0097,0.1589,0.3046,0.0234,0.0234
354,0.0097,0.1005,0.1629,0.0234,0.0234
355,0.0097,0.1005,0.1082,0.0234,0.0234
359,0.0097,0.1557,0.1082,0.0234,0.0234
360,0.0097,0.0701,0.1082,0.0234,0.0234
365,0.0097,0.0623,0.1892,0.0234,0.0234
370,0.0097,0.1309,0.1764,0.0234,0.0234
372,0.0097,0.1309,0.6824,0.0234,0.0234
374,0.0097,0.0733,0.6824,0.1826,0.1826
377,0.0351,0.0733,0.2169,0.1473,0.1473
381,0.0351,0.1828,0.3795,0.152,0.152
385,0.0351,0.017,0.0853,0.046,0.046
397,0.1545,0.017,0.0849,0.0546,0.0546
399,0.0316,0.017,0.3125,0.0828,0.0828
405,0.0271,0.0127,0.0892,0.0828,0.0828
411,0.0271,0.0127,0.2089,0.3876,0.3876
417,0.0271,0.0872,0.3826,0.0365,0.0365
418,0.0271,0.0872,0.3658,0.0365,0.0365
419,0.0271,0.0346,0.3516,0.0365,0.0365
421,0.0271,0.0265,0.3842,0.0365,0.0365
431,0.0715,0.1175,0.2175,0.0365,0.0365
435,0.0715,0.3518,0.2175,0.0691,0.0691
438,0.0645,0.2161,0.2814,0.0521,0.0521
439,0.0645,0.0313,0.0748,0.0521,0.0521
443,0.0645,0.0313,0.0748,0.0521,0.0521
446,0.4348,0.1693,0.6903,0.0174,0.0174
447,0.4348,0.3051,0.714,0.0174,0.0174
464,0.0659,0.0112,0.0584,0.0174,0.0174
465,0.0659,0.0112,0.1145,0.0174,0.0174
468,0.0659,0.0112,0.0837,0.0174,0.0174
472,0.0542,0.0112,0.05,0.0174,0.0174
475,0.0542,0.0112,0.1045,0.0353,0.0353
480,0.0736,0.0227,0.0985,0.0353,0.0353
488,0.1322,0.0117,0.2085,0.2101,0.2101
492,0.0696,0.0206,0.2296,0.2023,0.2023
499,0.0696,0.0443,0.3147,0.0618,0.0618
501,0.0696,0.0443,0.211,0.0609,0.0609
504,0.0696,0.3251,0.2585,0.0477,0.0477
507,0.0696,0.0312,0.2585,0.0477,0.0477
508,0.1991,0.0312,0.2585,0.0477,0.0477
509,0.0585,0.0214,0.0932,0.0477,0.0477
516,0.0585,0.0134,0.0932,0.0525,0.0525
521,0.0585,0.0249,0.1567,0.0525,0.0525
526,0.0573,0.0166,0.1694,0.0525,0.0525
532,0.0573,0.008,0.215,0.6044,0.6044
538,0.3308,0.005,0.1508,0.1726,0.1726
563,0.0972,0.0062,0.3655,0.0943,0.0943
567,0.4061,0.5901,0.7827,0.0943,0.0943
570,0.0208,0.0098,0.0915,0.0802,0.0802
571,0.0208,0.0098,0.0613,0.0802,0.0802
574,0.0208,0.0098,0.0613,0.0802,0.0802
591,0.0849,0.003,0.1034,0.1462,0.1462
593,0.0849,0.003,0.0874,0.1462,0.1462
596,0.0999,0.003,0.2595,0.1462,0.1462
598,0.0323,0.003,0.1173,0.1559,0.1559
605,0.0286,0.003,0.1736,0.1043,0.1043
614,0.0463,0.003,0.0957,0.1597,0.1597
636,0.0476,0.003,0.2061,0.1561,0.1561
642,0.0476,0.003,0.0651,0.1368,0.1368
649,0.0476,0.007,0.1901,0.2444,0.2444
654,0.0328,0.007,0.1595,0.2444,0.2444
655,0.0328,0.509,0.4178,0.2444,0.2444
657,0.0328,0.0226,0.304,0.2444,0.2444
663,0.0328,0.0647,0.1511,0.1384,0.1384
665,0.0328,0.3729,0.353,0.1384,0.1384
677,0.0477,0.0077,0.3101,0.1545,0.1545
683,0.0477,0.0077,0.0497,0.1545,0.1545
692,0.1635,0.2864,0.3518,0.1158,0.1158
694,0.0488,0.2934,0.5633,0.1158,0.1158
695,0.0337,0.6552,0.7818,0.1158,0.1158
696,0.0337,0.5677,0.7818,0.1158,0.1158
705,0.0337,0.142,0.1986,0.1158,0.1158
716,0.1104,0.0248,0.346,0.25,0.25
717,0.1104,0.0307,0.346,0.25,0.25
727,0.0991,0.0248,0.4478,0.0613,0.0613
736,0.1578,0.2552,0.3876,0.0613,0.0613
737,0.1578,0.3306,0.5244,0.0613,0.0613
739,0.118,0.0916,0.2694,0.0613,0.0613
741,0.118,0.213,0.0905,0.0613,0.0613
744,0.0384,0.1969,0.5189,0.0613,0.0613
745,0.0384,0.0306,0.2795,0.0613,0.0613
759,0.0302,0.4788,0.7355,0.0613,0.0613
760,0.0302,0.7106,0.8152,0.0613,0.0613
761,0.0302,0.6502,0.7409,0.0613,0.0613
762,0.0302,0.0235,0.2017,0.0613,0.0613
766,0.0302,0.0235,0.0854,0.0613,0.0613
775,0.0334,0.0332,0.2027,0.0789,0.0789
787,0.0334,0.0236,0.1535,0.0789,0.0789
794,0.1163,0.1252,0.5126,0.1855,0.1855
802,0.3061,0.1853,0.2839,0.1855,0.1855
808,0.211,0.0482,0.2233,0.1259,0.1259
812,0.211,0.4013,0.4405,0.1259,0.1259
815,0.3075,0.3261,0.549,0.1259,0.1259
839,0.1369,0.2688,0.526,0.1259,0.1259
849,0.3131,0.0167,0.2452,0.0995,0.0995
863,0.1202,0.0167,0.2326,0.144,0.144
871,0.066,0.1076,0.2152,0.1861,0.1861
879,0.0662,0.0443,0.1409,0.1861,0.1861
890,0.1089,0.0443,0.3585,0.2376,0.2376
891,0.1089,0.1708,0.4258,0.2376,0.2376
894,0.1089,0.1167,0.58,0.1332,0.1332
900,0.1866,0.0657,0.1085,0.1648,0.1648
908,0.1395,0.034,0.3287,0.2958,0.2958
917,0.0994,0.3606,0.1231,0.1138,0.1138
918,0.0994,0.3606,0.1031,0.1138,0.1138
922,0.1481,0.0621,0.1031,0.1138,0.1138
938,0.0498,0.049,0.135,0.0896,0.0896
950,0.1098,0.116,0.2771,0.2723,0.2723
951,0.1098,0.116,0.2771,0.2723,0.2723
961,0.0672,0.0139,0.3683,0.2237,0.2237
966,0.0672,0.0139,0.1622,0.0938,0.0938
973,0.1186,0.0118,0.3417,0.0938,0.0938
975,0.3324,0.0118,0.1263,0.0938,0.0938
981,0.2633,0.1446,0.1263,0.0938,0.0938
989,0.369,0.021,0.0774,0.2718,0.2718
992,0.116,0.021,0.0505,0.2105,0.2105
996,0.0331,0.021,0.0903,0.185,0.185
998,0.0331,0.021,0.0903,0.185,0.185
1006,0.0331,0.1245,0.331,0.185,0.185
1019,0.0237,0.0483,0.1226,0.0606,0.0606
1020,0.0237,0.0577,0.1226,0.0606,0.0606
1023,0.0237,0.0443,0.1373,0.0606,0.0606
1033,0.0237,0.0143,0.1914,0.0606,0.0606
1034,0.0237,0.0122,0.1371,0.0606,0.0606
1036,0.0237,0.0105,0.1218,0.1072,0.1072
1037,0.0237,0.0105,0.2674,0.1072,0.1072
1040,0.0287,0.0105,0.0574,0.1072,0.1072
1041,0.0287,0.0105,0.0574,0.1072,0.1072
1052,0.0351,0.0105,0.1453,0.0861,0.0861
1053,0.0351,0.014,0.1453,0.0861,0.0861
1060,0.0351,0.0296,0.0934,0.1028,0.1028
1084,0.0514,0.0156,0.0786,0.0934,0.0934
1093,0.0514,0.0156,0.0786,0.0934,0.0934
1103,0.0672,0.0353,0.0921,0.0766,0.0766
1112,0.0672,0.1081,0.1319,0.0766,0.0766
1115,0.0598,0.0989,0.1319,0.2523,0.2523
1117,0.0452,0.2027,0.1821,0.3009,0.3009
1123,0.0379,0.0494,0.1534,0.0363,0.0363
1128,0.0379,0.2068,0.307,0.0363,0.0363
1133,0.0379,0.0219,0.043,0.0363,0.0363
1134,0.0379,0.0219,0.043,0.0363,0.0363
1143,0.1264,0.0219,0.065,0.0322,0.0322
1144,0.1264,0.0219,0.065,0.0322,0.0322
1147,0.1431,0.0141,0.0467,0.0322,0.0322
1148,0.2008,0.0141,0.0467,0.0322,0.0322
1151,0.2008,0.0141,0.086,0.0322,0.0322
1158,0.1041,0.0112,0.0603,0.039,0.039
1182,0.1803,0.0146,0.0553,0.0811,0.0811
1184,0.141,0.0146,0.0644,0.0811,0.0811
1185,0.141,0.0934,0.0644,0.0811,0.0811
1187,0.1261,0.0513,0.0644,0.0811,0.0811
1194,0.24,0.1266,0.1512,0.0775,0.0775
1199,0.0813,0.0225,0.1312,0.0775,0.0775
1210,0.0813,0.0439,0.1718,0.0399,0.0399
1217,0.1968,0.0177,0.0974,0.0227,0.0227
1218,0.1968,0.0177,0.0974,0.0227,0.0227
1219,0.1277,0.0177,0.0974,0.0227,0.0227
1223,0.1818,0.0177,0.1905,0.0227,0.0227
1224,0.1818,0.0177,0.1905,0.0227,0.0227
1233,0.1152,0.0343,0.0444,0.0227,0.0227
1238,0.1152,0.0343,0.0444,0.0227,0.0227
1241,0.3321,0.1112,0.5301,0.0227,0.0227
1243,0.2895,0.0454,0.0553,0.0227,0.0227
1251,0.2362,0.0829,0.2879,0.0227,0.0227
1252,0.1174,0.0284,0.2879,0.0227,0.0227
1254,0.1174,0.0284,0.2626,0.0227,0.0227
1258,0.1225,0.0284,0.6395,0.0227,0.0227
1259,0.1225,0.1098,0.6793,0.0227,0.0227
1262,0.1858,0.2903,0.2618,0.0227,0.0227
1263,0.1858,0.0452,0.091,0.0227,0.0227
1273,0.1741,0.0969,0.3165,0.1613,0.1613
1279,0.0584,0.2867,0.0977,0.0845,0.0845
1281,0.0584,0.1834,0.0977,0.0771,0.0771
1284,0.0584,0.3124,0.3352,0.0771,0.0771
1285,0.0584,0.3895,0.5301,0.0771,0.0771
1287,0.0584,0.5755,0.4893,0.0771,0.0771
1299,0.1089,0.0301,0.208,0.1228,0.1228
1300,0.1089,0.0301,0.2672,0.1228,0.1228
1310,0.0688,0.0393,0.1326,0.1014,0.1014
1316,0.0688,0.0947,0.1924,0.0791,0.0791
1318,0.0688,0.031,0.1924,0.0791,0.0791
1349,0.0651,0.0897,0.2044,0.2823,0.2823
1357,0.0651,0.0665,0.0996,0.1552,0.1552
1368,0.0651,0.0139,0.2865,0.066,0.066
1373,0.0651,0.0139,0.0907,0.066,0.066
1376,0.0651,0.0139,0.4074,0.066,0.066
1377,0.0651,0.0139,0.4074,0.066,0.066
1387,0.1744,0.0168,0.1716,0.066,0.066
1391,0.1744,0.0224,0.1145,0.066,0.066
1398,0.1881,0.0154,0.2036,0.1626,0.1626
1403,0.1427,0.0154,0.0968,0.1626,0.1626
1409,0.1197,0.0154,0.2584,0.1626,0.1626
1426,0.0684,0.0154,0.5242,0.163,0.163
1431,0.0684,0.0133,0.0789,0.1069,0.1069
1439,0.0684,0.0133,0.2634,0.1069,0.1069
1440,0.0684,0.0171,0.5336,0.1069,0.1069
1445,0.0801,0.5206,0.6982,0.3262,0.3262
1452,0.2176,0.1032,0.4014,0.3986,0.3986
1458,0.3507,0.0396,0.2092,0.2142,0.2142
1462,0.1918,0.0396,0.0921,0.1924,0.1924
1471,0.068,0.0619,0.1337,0.0996,0.0996
1472,0.068,0.03,0.1337,0.0996,0.0996
1475,0.0561,0.03,0.2141,0.0996,0.0996
1488,0.0561,0.054,0.0646,0.124,0.124
1490,0.1998,0.054,0.34,0.124,0.124
1492,0.1998,0.0447,0.3158,0.2613,0.2613
1493,0.1998,0.0619,0.3158,0.2613,0.2613
1498,0.2358,0.0619,0.1113,0.2613,0.2613
1499,0.182,0.21,0.3758,0.2613,0.2613
1502,0.1137,0.0723,0.1347,0.1464,0.1464
1506,0.1137,0.0299,0.1347,0.1464,0.1464
1514,0.1137,0.0299,0.1159,0.1796,0.1796
1524,0.3096,0.0624,0.6087,0.154,0.154
1525,0.2531,0.0624,0.6087,0.154,0.154
1526,0.2531,0.0624,0.4391,0.154,0.154
1528,0.2531,0.0624,0.3096,0.154,0.154
1531,0.2531,0.0452,0.1725,0.1447,0.1447
1532,0.3198,0.0477,0.1725,0.1447,0.1447
1539,0.4472,0.1305,0.2653,0.1447,0.1447
1541,0.4472,0.2575,0.4665,0.1447,0.1447
1542,0.4264,0.2575,0.4665,0.1447,0.1447
1543,0.4264,0.2575,0.4665,0.1447,0.1447
1544,0.3129,0.0271,0.1447,0.1447,0.1447
1558,0.197,0.0986,0.2543,0.1547,0.1547
1559,0.197,0.0592,0.2543,0.1547,0.1547
1560,0.197,0.0592,0.3043,0.1547,0.1547
1568,0.068,0.0716,0.2065,0.1547,0.1547
1569,0.068,0.0716,0.2065,0.1547,0.1547
1571,0.068,0.0716,0.1768,0.1547,0.1547
1589,0.068,0.1257,0.1793,0.2358,0.2358
1595,0.2567,0.0814,0.471,0.2358,0.2358
1599,0.2567,0.0814,0.3972,0.1573,0.1573
1600,0.2567,0.0814,0.1475,0.1573,0.1573
1603,0.2765,0.0814,0.1475,0.1573,0.1573
1606,0.2435,0.1552,0.1529,0.174,0.174
1609,0.2435,0.1284,0.1529,0.174,0.174
1610,0.2589,0.1284,0.4114,0.174,0.174
1615,0.179,0.0364,0.3205,0.256,0.256
1618,0.179,0.0364,0.1044,0.256,0.256
1623,0.179,0.0857,0.1643,0.2211,0.2211
1624,0.2163,0.0857,0.1643,0.2211,0.2211
1631,0.2049,0.0969,0.4577,0.2565,0.2565
1633,0.2049,0.0472,0.321,0.2565,0.2565
1639,0.128,0.0401,0.1836,0.309,0.309
1650,0.2205,0.1013,0.1293,0.1908,0.1908
1651,0.2205,0.0868,0.1293,0.1908,0.1908
1653,0.2722,0.0868,0.4106,0.1908,0.1908
1658,0.1318,0.118,0.1205,0.2122,0.2122
1661,0.1318,0.0427,0.1039,0.2122,0.2122
1664,0.1318,0.0427,0.1935,0.2473,0.2473
1670,0.1279,0.0198,0.4025,0.2473,0.2473
1671,0.1279,0.0198,0.2975,0.2473,0.2473
1673,0.1279,0.0198,0.1868,0.1871,0.1871
1678,0.2977,0.0198,0.3261,0.1451,0.1451
1679,0.3906,0.0198,0.3425,0.1451,0.1451
1681,0.3772,0.0198,0.0956,0.1451,0.1451
1682,0.3772,0.0198,0.0956,0.1451,0.1451
1683,0.3772,0.0198,0.0956,0.1451,0.1451
1687,0.4102,0.2566,0.3177,0.2215,0.2215
1696,0.124,0.0252,0.1571,0.2715,0.2715
1701,0.124,0.0369,0.5903,0.2715,0.2715
1703,0.124,0.0292,0.2165,0.2715,0.2715
1707,0.0841,0.0292,0.1116,0.1052,0.1052
1709,0.0841,0.0292,0.4324,0.1052,0.1052
1710,0.0841,0.0292,0.4324,0.1052,0.1052
1725,0.0959,0.0318,0.1638,0.1203,0.1203
1727,0.0959,0.0318,0.1638,0.2477,0.2477
1732,0.0792,0.0465,0.425,0.1967,0.1967
1733,0.0783,0.0465,0.1277,0.1967,0.1967
1736,0.0783,0.0465,0.2423,0.097,0.097
1737,0.0783,0.0465,0.2423,0.097,0.097
1738,0.0783,0.0465,0.2423,0.097,0.097
1746,0.1368,0.0228,0.181,0.1356,0.1356
1753,0.1513,0.0524,0.4194,0.327,0.327
1758,0.1286,0.0412,0.1586,0.1721,0.1721
1771,0.1437,0.0336,0.1661,0.171,0.171
1775,0.1283,0.0336,0.1252,0.2471,0.2471
1777,0.1283,0.0376,0.2123,0.2471,0.2471
1787,0.0699,0.0213,0.281,0.1288,0.1288
1788,0.0699,0.0324,0.496,0.1288,0.1288
1792,0.0699,0.1005,0.2788,0.1288,0.1288
1793,0.0699,0.1005,0.4905,0.1288,0.1288
1797,0.0966,0.044,0.2,0.1288,0.1288
1806,0.1589,0.044,0.3477,0.073,0.073
1809,0.1589,0.1008,0.2964,0.073,0.073
1810,0.1589,0.1338,0.2964,0.073,0.073
1814,0.1589,0.1603,0.4709,0.073,0.073
1815,0.1589,0.1603,0.4709,0.073,0.073
1820,0.077,0.0733,0.4966,0.073,0.073
1823,0.077,0.2847,0.376,0.073,0.073
1831,0.077,0.0582,0.4535,0.0625,0.0625
1832,0.077,0.0582,0.396,0.0625,0.0625
1835,0.077,0.0582,0.396,0.0625,0.0625
1836,0.077,0.0582,0.396,0.0625,0.0625
1839,0.077,0.1111,0.396,0.1675,0.1675
1841,0.077,0.0672,0.2378,0.1404,0.1404
1844,0.077,0.0672,0.2728,0.1404,0.1404
1845,0.077,0.0672,0.2441,0.1404,0.1404
1847,0.077,0.0672,0.5208,0.1404,0.1404
1848,0.077,0.108,0.5208,0.1404,0.1404
1850,0.077,0.0549,0.458,0.1796,0.1796
1851,0.077,0.0549,0.3639,0.1796,0.1796
1854,0.077,0.0549,0.2089,0.196,0.196
1858,0.1936,0.0633,0.3009,0.0514,0.0514
1860,0.1936,0.0633,0.3894,0.0514,0.0514
1861,0.1936,0.0633,0.3894,0.0514,0.0514
1862,0.1936,0.0633,0.2605,0.0514,0.0514
1863,0.1936,0.0633,0.2605,0.0514,0.0514
1871,0.0902,0.0703,0.1689,0.0514,0.0514
1875,0.0902,0.1113,0.3659,0.0497,0.0497
1879,0.1229,0.054,0.2071,0.0497,0.0497
1883,0.1464,0.054,0.3601,0.0953,0.0953
1887,0.1686,0.5268,0.4691,0.3416,0.3416
1891,0.0674,0.1038,0.5096,0.3416,0.3416
1892,0.0674,0.1038,0.5096,0.3416,0.3416
1894,0.0674,0.0513,0.1661,0.1908,0.1908
1895,0.0674,0.0513,0.1661,0.1908,0.1908
1898,0.0674,0.0763,0.214,0.1421,0.1421
1902,0.0674,0.1292,0.1893,0.1421,0.1421
1908,0.0615,0.2253,0.4512,0.1163,0.1163
1909,0.0615,0.0932,0.1849,0.1163,0.1163
1910,0.0615,0.0932,0.1849,0.1163,0.1163
1913,0.0615,0.0932,0.1849,0.1163,0.1163
1914,0.0615,0.1564,0.1849,0.1163,0.1163
1916,0.0615,0.0998,0.2669,0.1163,0.1163
1919,0.0615,0.0998,0.2669,0.0345,0.0345
1920,0.0615,0.0602,0.2669,0.0345,0.0345
1921,0.0615,0.0602,0.2669,0.0345,0.0345
1927,0.0738,0.1382,0.5036,0.0345,0.0345
1928,0.0738,0.1382,0.5036,0.0345,0.0345
1929,0.0738,0.0626,0.1647,0.0345,0.0345
1930,0.0738,0.0626,0.1647,0.0345,0.0345
1934,0.0871,0.0626,0.3356,0.0345,0.0345
1936,0.0871,0.5839,0.4457,0.0345,0.0345
1937,0.0871,0.5839,0.4457,0.0345,0.0345
1949,0.1037,0.0466,0.2513,0.0345,0.0345
1953,0.0921,0.1075,0.3078,0.0845,0.0845
1957,0.1026,0.0506,0.2631,0.0845,0.0845
1961,0.1026,0.0394,0.366,0.0845,0.0845
1971,0.0972,0.3412,0.2883,0.2813,0.2813
1972,0.0972,0.1427,0.1804,0.2813,0.2813
1975,0.0972,0.0563,0.1548,0.2813,0.2813
1979,0.0972,0.0162,0.4204,0.1309,0.1309
1990,0.0598,0.0162,0.3041,0.0855,0.0855
1991,0.0598,0.0162,0.6041,0.0855,0.0855
1992,0.0598,0.0099,0.6041,0.1297,0.1297
1993,0.0598,0.0099,0.3704,0.1297,0.1297
2000,0.0598,0.0099,0.2616,0.1451,0.1451
2002,0.0598,0.0166,0.3666,0.0328,0.0328
2006,0.0649,0.0266,0.2837,0.0328,0.0328
2007,0.0649,0.0266,0.2837,0.0328,0.0328
2008,0.0649,0.0266,0.2837,0.0328,0.0328
2019,0.0392,0.0453,0.2606,0.0328,0.0328
2025,0.0392,0.0296,0.286,0.0328,0.0328
2026,0.0468,0.0296,0.2975,0.0328,0.0328
2027,0.0468,0.0296,0.2975,0.0328,0.0328
2029,0.0468,0.0296,0.2099,0.0328,0.0328
2030,0.0468,0.0296,0.2099,0.0328,0.0328
2041,0.0349,0.0111,0.1881,0.0328,0.0328
2042,0.0349,0.0111,0.2643,0.0328,0.0328
2043,0.0349,0.0111,0.3011,0.0328,0.0328
2047,0.0349,0.0111,0.2,0.0328,0.0328
2052,0.0441,0.0111,0.1769,0.0826,0.0826
2053,0.0441,0.0111,0.1769,0.0826,0.0826
2062,0.0441,0.0111,0.2867,0.0666,0.0666
2073,0.2492,0.1322,0.3212,0.0666,0.0666
2075,0.2492,0.2722,0.1883,0.0666,0.0666
2076,0.1576,0.2078,0.2296,0.0666,0.0666
2078,0.1576,0.2078,0.3598,0.0666,0.0666
2085,0.129,0.0411,0.3419,0.0741,0.0741
2086,0.129,0.0411,0.3419,0.0741,0.0741
2089,0.0671,0.0411,0.2371,0.0741,0.0741
2091,0.0671,0.0593,0.5108,0.0741,0.0741
2094,0.0671,0.0593,0.2448,0.0741,0.0741
2100,0.0616,0.0494,0.3022,0.0741,0.0741
2101,0.0616,0.0494,0.3921,0.0741,0.0741
2103,0.0616,0.0494,0.297,0.0741,0.0741
2104,0.0616,0.0494,0.215,0.0741,0.0741
2108,0.0616,0.0494,0.215,0.0741,0.0741
2111,0.073,0.1601,0.5648,0.0251,0.0251
2116,0.0384,0.0703,0.3039,0.0251,0.0251
2120,0.0384,0.1266,0.502,0.0251,0.0251
2121,0.0384,0.1266,0.502,0.0251,0.0251
2124,0.0384,0.019,0.1985,0.0251,0.0251
2125,0.0384,0.019,0.1828,0.0251,0.0251
2128,0.0424,0.0165,0.4791,0.0251,0.0251
2129,0.0424,0.0165,0.4791,0.0251,0.0251
2140,0.0486,0.0494,0.4759,0.0251,0.0251
2141,0.0486,0.0494,0.3452,0.0251,0.0251
2142,0.0486,0.0494,0.4032,0.0251,0.0251
2145,0.0486,0.0408,0.1762,0.0251,0.0251
2151,0.0737,0.0434,0.3382,0.0251,0.0251
2156,0.0565,0.0249,0.3115,0.0251,0.0251
2171,0.041,0.0386,0.2901,0.0251,0.0251
2174,0.041,0.0386,0.2335,0.0251,0.0251
2178,0.041,0.0551,0.3506,0.0251,0.0251
2182,0.041,0.0227,0.2841,0.0251,0.0251
2190,0.0483,0.0227,0.2841,0.0251,0.0251
2196,0.0483,0.0527,0.2841,0.0251,0.0251
2197,0.0483,0.0527,0.2841,0.0251,0.0251
2200,0.0483,0.0527,0.2841,0.0251,0.0251
2203,0.1136,0.0323,0.1937,0.0251,0.0251
2204,0.1136,0.0323,0.1937,0.0251,0.0251
2205,0.1136,0.0323,0.2249,0.0251,0.0251
2210,0.0816,0.0239,0.2429,0.0251,0.0251
2217,0.0654,0.0198,0.471,0.0251,0.0251
2219,0.0654,0.0198,0.2532,0.109,0.109
2233,0.0654,0.0361,0.1457,0.1782,0.1782
2238,0.0422,0.0474,0.2599,0.062,0.062
2246,0.0422,0.0073,0.1588,0.0395,0.0395
2247,0.0422,0.0073,0.1588,0.0395,0.0395
2250,0.0422,0.0073,0.1404,0.0395,0.0395
2261,0.0422,0.0073,0.2945,0.0395,0.0395
2274,0.0422,0.0073,0.309,0.0395,0.0395
2293,0.0976,0.2152,0.2556,0.2417,0.2417
2295,0.0976,0.4332,0.3916,0.2417,0.2417
2297,0.0976,0.1647,0.3916,0.2417,0.2417
2312,0.0419,0.015,0.3337,0.066,0.066
2316,0.0419,0.015,0.3337,0.066,0.066
2317,0.0419,0.015,0.203,0.066,0.066
2318,0.0419,0.015,0.203,0.066,0.066
2319,0.0419,0.015,0.2606,0.066,0.066
2320,0.0477,0.015,0.2606,0.066,0.066
2326,0.1005,0.0463,0.2606,0.066,0.066
2333,0.0749,0.0265,0.2606,0.054,0.054
2336,0.0749,0.0265,0.2606,0.054,0.054
2361,0.0362,0.0092,0.2837,0.0497,0.0497
2366,0.0389,0.0092,0.2199,0.0497,0.0497
2368,0.0389,0.0092,0.2199,0.0497,0.0497
2370,0.0454,0.0092,0.2199,0.0497,0.0497
2371,0.0454,0.0092,0.2828,0.0497,0.0497
2374,0.0454,0.0092,0.2828,0.0497,0.0497
2375,0.0454,0.0092,0.2828,0.0497,0.0497
2377,0.0454,0.0092,0.2828,0.0497,0.0497
2381,0.1117,0.0144,0.2239,0.0497,0.0497
2382,0.1117,0.0337,0.2239,0.0497,0.0497
2384,0.1117,0.0337,0.2239,0.0759,0.0759
2389,0.1117,0.0337,0.2958,0.1449,0.1449
2390,0.1177,0.0915,0.2958,0.2336,0.2336
2391,0.1177,0.0915,0.2958,0.2336,0.2336
2392,0.0693,0.0142,0.2958,0.2336,0.2336
